,Number,F true,F guess,d true,d guess,MAE ground truth,MAE spectrum
172,172.0,-0.9270303924226234,-0.9266734719276428,-0.10186686948083096,-0.10195617377758026,0.0022413881961256266,0.0019956561736762524
173,173.0,-0.6129217735454703,-0.6149016618728638,0.4111378666704233,0.4113835692405701,0.005936211906373501,0.005489854607731104
174,174.0,0.15822503426317988,0.15903232991695404,0.4220178076264795,0.42287135124206543,0.011850517243146895,0.008361327461898327
175,175.0,-0.7221049015955819,-0.726545512676239,0.6232013629155241,0.6231009364128113,0.006376990582793951,0.00597669743001461
176,176.0,-0.8993396552963091,-0.8987595438957214,-0.7983778321174246,-0.7984067797660828,0.0017187969060614705,0.0016397482249885798
177,177.0,0.5819687249539901,0.4918748438358307,0.5149597635964989,0.51603764295578,0.023983890190720558,0.021520838141441345
178,178.0,-0.9977329354879508,-0.9982872009277344,-0.7259894578152583,-0.7772917747497559,0.0025504159275442357,0.012601702474057673
179,179.0,-0.7264427686408769,-0.7259444594383241,0.10803945913705276,0.10793396830558777,0.0046599446795880795,0.00451702531427145
180,180.0,-0.9101000007822866,-0.9095876812934875,-0.4886915435727721,-0.4886267185211182,0.002170660998672247,0.002270383760333061
181,181.0,-0.9121792717086832,-0.9119552373886108,-0.5318341404396014,-0.5319567322731018,0.0020219250582158566,0.0018626959063112734
182,182.0,-0.9324873949579828,-0.9322785735130308,0.1103528292060315,0.10993091762065887,0.003580773482099176,0.0029513270128518343
183,183.0,-0.4829963354864555,-0.4793541133403778,-0.5971015092907239,-0.5970883965492249,0.00398356793448329,0.003754731034860015
184,184.0,-0.9904530812324928,-0.9939656257629396,-0.569093435171534,-0.4333770573139191,0.002911424962803721,0.035772964358329766
185,185.0,-0.9956195501923816,-0.9968438148498536,-0.5415968266098332,-0.5003671050071716,0.002802579430863261,0.0180219765752554
186,186.0,0.31038877138332177,0.28795361518859863,-0.8252113704925615,-0.8254224061965942,0.008795542642474173,0.009142310358583929
187,187.0,-0.7647620503529089,-0.8657700419425964,-0.7304331372834993,-0.8979436755180359,0.0027731149457395077,0.14266853034496307
188,188.0,-0.8710378151260502,-0.87114417552948,0.319376513306578,0.3190678060054779,0.0041015087626874456,0.003362389747053385
189,189.0,-0.9995140865870156,-0.9997187256813048,-0.4770045322041603,-0.4947014153003693,0.002694382099434733,0.002434859285131097
190,190.0,-0.794832332933173,-0.7966652512550354,0.6960919626483378,0.695828378200531,0.005240340251475573,0.004456870257854462
191,191.0,-0.8110204335177594,-0.8154045939445496,0.7774895799174226,0.7770521640777588,0.011736486107110977,0.010746628977358341
192,192.0,-0.3478171632289273,-0.35319066047668457,0.08131071350810185,0.08146805316209793,0.009546996094286442,0.009513071738183498
193,193.0,-0.9994858322272224,-0.9998224377632141,-0.9174882257331494,-0.818210244178772,0.002470581792294979,0.0033153751865029326
194,194.0,-0.6771688580188661,-0.6832379102706909,0.6237209998146582,0.6237006783485413,0.00700133154168725,0.006521714385598898
195,195.0,-0.20798313956858788,-0.2274165898561477,0.060385182047104,0.060583289712667465,0.008048436604440212,0.007684578187763691
196,196.0,-0.8845297727076309,-0.8850780129432678,0.16918820566204038,0.1691707968711853,0.003234462812542916,0.0031522118952125307
197,197.0,-0.864612027566562,-0.8645346760749817,-0.18142459005530603,-0.18151718378067014,0.0023563511203974485,0.002337908372282982
198,198.0,-0.9655891534269251,-0.964979887008667,-0.7081620817469626,-0.7080788612365723,0.003002357669174671,0.0018122870242223144
199,199.0,-0.9170753968253966,-0.9167883396148682,0.05641609441817487,0.05647031217813492,0.0024086388293653727,0.0022905950900167227
